'Tabelle 2.'1-1 b':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;
"Durchschnittliche Bevölkerung in Berlin 1990 - 2011
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Durchschnittliche Bevölkerung;;;;;;;;;;Durchschnittliche Bevölkerung;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;%1);9,0;9,0;9,1;9,0;9,0;9,0;9,0;9,0;9,1;9,1;9,0;9,1;9,1;9,0;9,0;9,1;9,1;9,0;9,0;9,0;9,0;8,9
weiblich;abs.;158.664;156.532;156.530;154.826;153.910;154.132;154.493;155.002;155.968;156.153;155.998;156.678;157.493;158.452;160.101;161.741;162.174;162.380;161.889;161.169;159.757;158.629
;%2);50,4;50,4;50,2;50,3;50,3;50,4;50,5;50,7;50,7;50,9;50,9;51,1;51,2;51,3;51,4;51,5;51,6;51,7;51,8;51,9;51,9;51,9
männlich;abs.;156.113;154.249;155.293;153.270;151.930;151.622;151.124;150.938;151.388;150.919;150.263;149.988;150.155;150.364;151.519;152.250;152.348;151.843;150.747;149.662;148.263;146.856
;%2);49,6;49,6;49,8;49,7;49,7;49,6;49,4;49,3;49,3;49,1;49,1;48,9;48,8;48,7;48,6;48,5;48,4;48,3;48,2;48,1;48,1;48,1
ausländisch;abs.;68.543;67.244;71.168;69.638;68.324;67.888;67.103;66.313;66.225;65.580;64.655;64.024;63.229;61.935;61.054;59.664;57.671;55.978;53.725;51.521;48.367;45.578
;%2);21,8;21,6;22,8;22,6;22,3;22,2;22,0;21,7;21,5;21,4;21,1;20,9;20,6;20,1;19,6;19,0;18,3;17,8;17,2;16,6;15,7;14,9
;;;;;;;;;;;;;;;;;;;;;;;
Treptow-Köpenick;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;243.634;241.804;240.173;238.784;236.666;235.912;235.043;234.259;233.581;232.891;232.267;229.887;227.713;225.310;221.526;217.662;215.807;215.801;214.268;212.693;211.924;211.012
;%1);7,0;7,0;7,0;7,0;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,8;6,7;6,6;6,4;6,3;6,2;6,2;6,2;6,2;6,2;6,2
weiblich;abs.;124.873;123.993;123.212;122.429;121.563;120.984;120.462;120.132;119.679;119.293;118.997;117.896;116.799;115.742;114.029;112.398;112.039;112.601;112.534;112.519;112.885;112.739
;%2);51,3;51,3;51,3;51,3;51,4;51,3;51,3;51,3;51,2;51,2;51,2;51,3;51,3;51,4;51,5;51,6;51,9;52,2;52,5;52,9;53,3;53,4
männlich;abs.;118.761;117.811;116.960;116.344;115.107;114.929;114.566;114.129;113.902;113.599;113.268;111.987;110.914;109.568;107.497;105.264;103.768;103.200;101.734;100.174;99.039;98.273
;%2);48,7;48,7;48,7;48,7;48,6;48,7;48,7;48,7;48,8;48,8;48,8;48,7;48,7;48,6;48,5;48,4;48,1;47,8;47,5;47,1;46,7;46,6
ausländisch;abs.;8.324;7.804;7.479;8.086;7.777;8.226;8.142;7.740;7.562;7.507;8.116;8.448;8.744;8.427;8.644;8.381;7.737;7.242;5.565;2.868;1.502;1.117
;%2);3,4;3,2;3,1;3,4;3,3;3,5;3,5;3,3;3,2;3,2;3,5;3,7;3,8;3,7;3,9;3,9;3,6;3,4;2,6;1,3;0,7;0,5
;;;;;;;;;;;;;;;;;;;;;;;
Marzahn-Hellersdorf;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;251.551;248.873;247.601;248.876;249.620;250.085;251.186;252.213;254.442;257.255;261.348;266.120;270.870;277.111;287.239;294.847;297.600;299.292;298.575;295.144;290.006;287.233
;%1);7,2;7,2;7,2;7,3;7,3;7,4;7,4;7,4;7,5;7,6;7,7;7,9;8,0;8,1;8,3;8,5;8,6;8,6;8,6;8,5;8,4;8,4
weiblich;abs.;127.211;125.887;125.255;125.804;126.178;126.398;126.841;127.359;128.484;130.018;132.177;134.768;137.302;140.674;145.873;149.533;151.009;152.042;151.959;150.632;148.811;147.800
;%2);50,6;50,6;50,6;50,5;50,5;50,5;50,5;50,5;50,5;50,5;50,6;50,6;50,7;50,8;50,8;50,7;50,7;50,8;50,9;51,0;51,3;51,5
männlich;abs.;124.340;122.985;122.346;123.076;123.439;123.675;124.359;124.878;125.958;127.230;129.172;131.361;133.568;136.437;141.366;145.314;146.591;147.250;146.616;144.512;141.195;139.433
;%2);49,4;49,4;49,4;49,5;49,5;49,5;49,5;49,5;49,5;49,5;49,4;49,4;49,3;49,2;49,2;49,3;49,3;49,2;49,1;49,0;48,7;48,5
ausländisch;abs.;10.775;9.706;9.287;10.155;9.704;9.437;9.114;8.920;8.723;8.754;8.738;8.630;8.670;8.616;8.896;9.470;9.432;9.319;8.176;6.911;5.473;5.429
;%2);4,3;3,9;3,8;4,1;3,9;3,8;3,6;3,5;3,4;3,4;3,3;3,2;3,2;3,1;3,1;3,2;3,2;3,1;2,7;2,3;1,9;1,9
;;;;;;;;;;;;;;;;;;;;;;;
Lichtenberg (bis 2000: Lichtenberg, Hohenschönhausen);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;262.916;260.494;258.383;258.776;257.730;259.177;258.068;258.075;260.121;260.825;261.265;264.339;269.548;276.154;281.833;286.736;288.733;287.759;287.312;287.158;286.271;286.445
;%1);7,6;7,6;7,5;7,6;7,6;7,6;7,6;7,6;7,7;7,7;7,7;7,8;7,9;8,1;8,2;8,3;8,3;8,3;8,3;8,3;8,3;8,4
weiblich;abs.;133.257;132.197;131.208;131.001;130.323;130.656;130.134;130.100;131.040;131.302;131.085;132.319;134.903;138.082;141.045;143.447;144.922;145.474;145.801;146.268;147.501;148.135
;%2);50,7;50,7;50,8;50,6;50,6;50,4;50,4;50,4;50,4;50,3;50,2;50,1;50,0;50,0;50,0;50,0;50,2;50,6;50,7;50,9;51,5;51,7
männlich;abs.;129.659;128.297;127.176;127.783;127.396;128.520;127.920;127.982;129.081;129.525;130.185;132.028;134.645;138.072;140.788;143.289;143.811;142.285;141.511;140.890;138.770;138.310
;%2);49,3;49,3;49,2;49,4;49,4;49,6;49,6;49,6;49,6;49,7;49,8;49,9;50,0;50,0;50,0;50,0;49,8;49,4;49,3;49,1;48,5;48,3
ausländisch;abs.;21.075;19.660;19.142;21.164;20.967;22.077;21.222;20.297;20.201;20.238;20.319;20.920;21.067;21.060;21.435;22.561;21.171;18.756;17.349;14.791;10.986;9.381
;%2);8,0;7,5;7,4;8,2;8,1;8,5;8,2;7,9;7,8;7,8;7,8;7,9;7,8;7,6;7,6;7,9;7,3;6,5;6,0;5,2;3,8;3,3
;;;;;;;;;;;;;;;;;;;;;;;
Reinickendorf;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;242.554;240.963;241.200;241.773;241.917;243.704;244.956;245.982;245.996;246.001;245.616;246.449;247.239;249.067;252.069;253.059;251.635;251.427;250.681;249.558;249.470;249.024
;%1);7,0;7,0;7,0;7,1;7,1;7,2;7,2;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,2;7,2;7,2;7,2;7,3;7,3
weiblich;abs.;125.593;124.997;125.366;125.854;126.045;126.968;127.800;128.401;128.456;128.688;128.841;129.523;129.993;130.675;132.219;133.021;132.714;132.857;132.713;132.435;132.478;132.520
;%2);51,8;51,9;52,0;52,1;52,1;52,1;52,2;52,2;52,2;52,3;52,5;52,6;52,6;52,5;52,5;52,6;52,7;52,8;52,9;53,1;53,1;53,2
männlich;abs.;116.961;115.967;115.834;115.922;115.868;116.752;117.176;117.589;117.540;117.319;116.772;116.907;117.246;118.392;119.850;120.038;118.921;118.570;117.968;117.123;116.992;116.504
;%2);48,2;48,1;48,0;47,9;47,9;47,9;47,8;47,8;47,8;47,7;47,5;47,4;47,4;47,5;47,5;47,4;47,3;47,2;47,1;46,9;46,9;46,8
ausländisch;abs.;24.616;22.785;22.600;22.595;22.012;22.349;22.172;21.860;21.539;21.123;20.860;20.918;21.221;22.315;23.749;23.378;22.017;21.110;19.415;17.820;16.698;15.648
;%2);10,1;9,5;9,4;9,3;9,1;9,2;9,1;8,9;8,8;8,6;8,5;8,5;8,6;9,0;9,4;9,2;8,7;8,4;7,7;7,1;6,7;6,3
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1) Anteil an Berlin.;;;;;;;;;;;;;;;;;;;;;;;
2) Anteil an der jeweiligen Region (Berlin bzw. Bezirk).;;;;;;;;;;;;;;;;;;;;;;;
(Datenquelle: AfS Berlin-Brandenburg / Berechnung: SenGesSoz - I A -);;;;;;;;;;;;;;;;;;;;;;;
